"x","y"
3.46644641831517,2444.02844023148
6.28727208822966,3848.22470790152
7.90816731750965,1670.56512273246
15.6788232270628,9812.16002598265
33.3883096463978,72794.8253427672
58.7802089285105,510950.49092965
79.2195103131235,1524554.6596209
83.4745327010751,1853720.97394766
87.6653464511037,2223357.37285337
90.0109806098044,2454078.80353643
99.8045750893652,3622624.27690859
111.482916167006,5513968.31738744
117.771089309826,6795835.50654135
134.891803143546,11432813.8384246
158.579484326765,21342153.1840426
169.550902675837,27661950.459395
174.377568531781,30845986.8234156
176.562099484727,32373526.4962784
188.997224904597,42189144.0512673
192.447887733579,45272431.2028782
209.738136269152,63327912.1130048
212.401682976633,66527875.8446132
215.843610698357,70841908.6732707
221.38014761731,78216954.8135718
222.872111946344,80299742.3651487
226.656767772511,85770339.2048527
234.721197746694,98353247.4426881
240.104316733778,107491787.030535
256.767657585442,139856198.256668
271.688768872991,174594499.884108
276.459709508345,186958989.640204
280.038986587897,196657520.020412
300.935520092025,261029220.874326
316.52577361092,318493101.131964
329.133784398437,371507697.655434
331.451582722366,381931442.082197
341.417191317305,429275303.83148
344.087246572599,442674638.56775
352.495430503041,486926841.594315
371.487193740904,599046809.233856
378.857831470668,647397018.655191
420.906678307801,981536892.386068
436.50469603017,1133568265.47229
448.167355265468,1258291512.23097
457.656783750281,1367148087.95383
478.229944361374,1627281179.20387
478.77314989455,1634618498.10916
493.810068350285,1847726559.81483
500.928507186472,1955578809.60364
517.477545654401,2224536133.92601
525.958582060412,2372663647.31919
528.431825805455,2417220847.5107
528.923252364621,2426150465.85722
541.356461821124,2660368273.56264
558.818912599236,3017475403.12329
573.442784603685,3343223926.15726
578.024168033153,3450499164.19785
591.880864463747,3790716304.11249
598.255696939304,3955415991.56068
633.494455134496,4964754172.82314
638.866066932678,5134089313.60621
654.632994672284,5656206813.8528
655.805095797405,5696549602.07395
656.935021514073,5735645074.31927
692.498659249395,7072412309.12043
693.41174676083,7109548638.85227
696.219763485715,7224670662.57107
698.849090607837,7333728244.22681
700.701935915276,7411317597.62185
701.446853112429,7442685300.13184
703.802415868267,7542529801.64346
706.568925874308,7661070581.33063
711.057854117826,7856382025.88641
716.974486364052,8119490156.49502
724.822906544432,8478635195.30976
741.906963055953,9301502263.07986
763.326731044799,10416174856.6709
779.670553747565,11331863189.8918
782.309682108462,11485201888.0519
783.535026712343,11556923807.8919
789.368626661599,11902991593.322
789.572090608999,11915199641.9997
794.08428282477,12188373965.517
809.762874152511,13174226122.5948
812.684025848284,13364316339.8693
829.097304027528,14470933872.6576
832.467776024714,14706426421.1013
833.757176063955,14797271586.037
835.775560000911,14940321457.2883
846.017210511491,15682236428.1699
860.789743252099,16800627727.8777
893.264123937115,19468675976.0593
908.495002426207,20824032426.782
939.640254713595,23814695168.853
955.464708385989,25452117703.1246
956.703790463507,25583800970.9885
962.191954720765,26173205172.8353
962.266439571977,26181274464.0289
967.264531413093,26726981624.2334
984.471202129498,28671108795.8352
