"x","y"
892.055467469618,7098.76913459663
562.403585994616,4553.43844881379
287.252395180985,2554.53016227948
595.806350000203,4913.19953666578
911.208549747244,7062.68418963317
669.42310333252,5652.20453614978
675.584686920047,5132.59333501306
892.552973469719,6686.75320817183
98.204197594896,205.304972061124
682.880533859134,5769.79388258226
929.311402374879,7523.59037854571
101.881339447573,1383.4875864707
673.615079838783,4627.71788968912
703.234603395686,5037.68520304845
974.847761914134,7911.9918005255
751.653963234276,5102.02820986362
304.753075120971,3962.80728330306
631.252597784624,6733.33758308522
27.344113914296,-1333.50980692012
944.707391317934,9527.5413091823
800.449613947421,7546.12112663249
595.536292530596,3131.46403726634
372.627226402983,3690.81555754312
728.138105943799,6483.08839143074
899.77531763725,9422.50481600072
162.778481375426,-784.665727664772
125.001541338861,-800.379552520158
8.18974082358181,-2252.66406332182
1.9406252540648,308.678122930809
771.381980273873,5310.87895947953
244.912443449721,2105.8795181627
713.207794819027,5156.20196513344
755.991228623316,4429.57756981671
386.054722126573,5108.84061949764
649.789186893031,4305.97414969669
586.257581599057,2099.41911357977
347.781651420519,682.515367735331
647.28063903749,4474.97041241698
121.214242419228,1199.89060959608
360.238944878802,2401.72672852064
588.911620201543,6260.72848598892
299.8293612618,-120.724494848195
378.974446561188,448.525176919085
320.619217818603,-3.77850636328776
126.139874802902,167.447493013824
95.9468160290271,-631.640230789246
586.38332108967,5042.68343246037
163.561874534935,3586.27729216705
784.003797918558,8651.14345026097
269.062345148996,529.387260870381
613.054696470499,9259.68158779312
799.651013687253,9404.97661677161
579.350787447765,3894.44999724453
846.032958244905,2728.21333892256
573.573080124334,1582.97632623745
51.763532217592,1266.62698150057
942.108991090208,9833.02684300425
463.119430467486,3444.45292705497
828.156522940844,10953.2959282767
217.757073929533,-150.405707351287
293.551137903705,6264.91431085042
607.380457688123,9551.41549915199
872.190143214539,4931.81750264307
5.45672443695366,4926.16126572575
54.2317868676037,3069.27706672619
833.211912540719,11149.8237518638
890.82146063447,7233.19190950639
599.138348130509,-823.888674689458
12.5123229809105,-3131.31364402763
392.490600468591,2737.55770653957
248.638058546931,2154.74315842612
531.188606983051,2168.9463295794
751.699493033811,219.810816048272
158.660034416243,490.009814337601
533.184775616974,3328.44237558514
455.635075224563,-2463.48344394936
198.912093415856,5200.67568198833
312.294927658513,5084.00729155769
776.933965971693,7634.19992821119
136.785949347541,-5176.63970339234
787.643037270755,9277.95046529855
247.331614140421,8649.94950367301
432.304148096591,10677.8569070113
68.3972772676498,-1298.92443469948
170.996200758964,2574.82365325182
650.648347102106,-612.99286236044
107.324931072071,-2596.17505100107
580.935315228999,4525.63877314406
12.6113072037697,-4327.75987191858
858.940906124189,2302.75869628281
618.513956433162,4983.79376285645
825.926272431388,7756.87045544234
11.821043677628,-6743.14203658446
687.472307356074,-2.71249572717261
741.585973883048,8643.31900145037
601.522142998874,-225.362163629551
178.393493639305,2668.04378333486
851.912919199094,480.336064729267
588.902344927192,2863.18003225867
730.863299686462,7570.43165832063
